Product Name,ID,Description,Part Number,Price
ERG-33-397-085,1001cee2-12d6-dabd-0765-54aec2451f45,"WorkFit-T, Sit-Stand Desktop Workstation (black)",33-397-085,$590.00 
ERG-61-367-030,11bd2dfd-f754-a5d2-c45d-5e5eaf825641,CareFit Enclosure (snow white) Wall-mount computer cabinet with sit to stand height adjustability.,61-367-030,"$1,233.00 "
ERG-45-478-026,11ca3cd7-405c-38ca-42c4-58d43d63d597,HX Wall Mount Monitor Arm (Polished Aluminum),45-478-026,$325.00 
ERG-24-313-026,120c6e18-bd67-4b6b-ff5a-53ee6dd096f9,"WorkFit-A, Single LD",24-313-026,$409.00 
ERG-60-610-062,13196af5-5189-69ef-d247-528634d65620,"StyleView Sit-Stand Enclosure (bright white), provides 20 inches of height adjustment, folds into a slim, compact unit only 3.8 inches deep.  Maximum device dimensions: 11W x 11H x 2.6D.  Maximum monitor dimensions: 20.5W x 13.5H x 2.5D.",60-610-062,"$1,112.00 "
ERG-98-017,1381e37e-fc5d-9bff-0a59-5d5bff0bc399,"LX Arm Grommet Mount for WorkFit-T, WorkFit-TL, WorkFit-TLE",,$17.00 
ERG-97-617,13da8a79-68bf-2266-f7d8-528634ffe3b0,WorkFit Convert-to-LCD & Laptop Kit from Dual Displays,97-617,$62.00 
ERG-47-058-200,145835fc-1b3c-a6da-076d-528634334437,"Pivot Assembly, Single Pivot with P/L and 1.5"" Diameter Pole Mount Clamp: Black.",47-058-200,$93.00 
ERG-20-076-100,14c06dba-d5af-da7a-9757-5f6dfccf17ff,"Command Post kiosk system 3""x3""x80"" steel post, mounts to floor or ceiling.",20-076-100,$220.00 
ERG-24-383-026,151206a4-7b6a-07da-770f-536bad7c7323,"WorkFit-P- Sit-Stand Workstation platform, 15 lbs weight capacity, 20"" height adjustment range.",24-383-026,$265.00 
ERG-98-353-921,157276b9-b9ee-bb65-0d18-5d8a2dbd02ea,"WorkFit Electric Sit-Stand Desk, 46""W (black/grey)",,$949.00 
ERG-97-487-800,16cf84b4-d457-fa14-eb27-5286345540c1,Vertical Lift Auto-Retracting Keyboard Kit,97-487-800,$131.00 
ERG-SV43-1120-0,1748d341-005b-8629-e732-5c94dd4350fc,"StyleView Laptop Cart, Non-Powered, 2 Drawers (1 x 2)",SV43-1120-0,"$2,216.00 "
ERG-C50-1100-0,17810ac0-25e4-192b-ccb7-5e8645711bb2,Carefit Slim Laptop Cart,,$800.00 
ERG-YES24GMPW4,180e2ad5-be27-5485-80ba-5baa567f29ed,"YES24 Charging Cart for (24) Mini-laptops and Chromebooks with screens up to 13.3in.  Equipped with PowerShuttle technology, YES24 charges up to 40% faster than standard charging systems (intelligent power mgmt, not power strip or timer), one 14ft power cord.",YES24GMPW4,"$1,253.00 "
ERG-EPM3616SM/MP,18c1efb7-1c76-3ddc-fc90-56151a62da93,"eNook Pro Wall Desk with enclosed monitor mount, Maple Finish.",EPM3616SM/MP,"$1,199.00 "
ERG-47-092-800,18e7d963-89f6-5d29-a3b9-52863488480d,100 Series Single Pivot for VESA 100mm or 75mm Flat Panel (Grey or Black),47-092-800,$70.00 
ERG-80-063-200,195ae7fa-9dd0-1500-9998-528634272b03,Vertical Small CPU Holder (black) CPU Size Range: 1-3/8IN to 3-3/4IN wide.,80-063-200,$62.00 
ERG-90-011,19e49693-2403-f90a-73e8-5be300cfd896,Anchor Hardware Kit for Wall Track,ERG-90-011,$33.00 
ERG-97-563-062,1a6da08b-df44-71a2-c9e1-5d95de8d0f20,Cable management kit (white),,$34.00 
ERG-90-018,1b4bbfad-fa7f-8d33-13eb-52863490ba7d,Concrete anchor kit for Command Post.,90-018,$26.00 
ERG-45-248-026,1b5e7364-ed24-2ed5-b205-528634d1148f,LX Dual Stacking Arms desk mount clamp or grommet mount. (Polished Aluminum),45-248-026,$379.00 
ERG-97-933-085,1cf3f6a3-7e91-b3b3-e718-5e38915f8aa8,WorkFit LCD and laptop kit. ,97-933-085,$164.00 
ERG-DM12-1012-1,1cf41ad2-e6c4-cdc1-1fbf-5640f42fe2ca,Zip 12 Universal Charging Desktop Cabinet,DM12-1012-1,$769.00 
ERG-45-551-216,1d542ceb-daa5-4954-971b-5e6fcd05f5ec,"LX Wall Mount System without CPU mount (white) - Includes LX monitor and keyboard arms, white wall track, 2 cable management channels, and track mount brackets.",45-551-216,$897.00 
ERG-YES36-CHR-1,1d8eef97-9514-064a-ee8c-607f1db4e571,YES36 Adjusta Charging Cart,,"$1,599.00 "
ERG-98-467,1dba670d-426f-962c-ed2f-602483d9f126,"Side-Mount Scanner Holder, Slim 2.0",98-467,$42.00 
ERG- SV42-6201,1ecd1aff-be73-161e-ead1-52863459ce74,SV42 StyleView Cart with LCD Arm and 66 Ah SLA Power System.,SV42-6201-1,"$3,077.00 "
ERG-45-476-026,1efcf49e-16ff-b71b-8ecd-5e626c941c1b,"HX desk mount dual monitor arm (polished aluminum), includes arm, extension, hinge bow, (2) monitor pivots, handle, desk clamp and grommet mount, for individual monitor 5 – 17.5 lbs.; max weight of two 35 lbs., max extension reach 24.5"" from back of base to VESA mounting plate.",45-476-026,$581.00 
ERG-SV44-53E1-1,1f9edfdf-b60f-383c-f3fe-5eb1c19ea3f8,"StyleView Telepresence Cart, Single Monitor, Powered (66Ah SLA Battery System.) Includes monitor mounted camera shelf, auto-lock drawer system with primary upper drawer/ large lower drawer/ drawer dividers, 4 outlet med grade power strip, rear handle and basket.",SV44-53E1-1,"$4,652.00 "
ERG-33-326-085,201a8e3e-8e36-92f6-f069-62057de6c5d2,"Neo-Flex® All-In-One Lift Stand - Monitor stand with CPU and cables management compartment, attached with adjustable strap.",33-326-085,$106.00 
ERG-33-444-921,2077dc1e-7adb-5205-3687-5b219c18c7be,"WorkFit-TLE, Sit-Stand Desktop Workstation with Drop Down Keyboard Tray. Main work surface dimensions of 37.4IN by 23IN and keyboard tray of 35IN by 8IN.",33-444-921,$479.00 
ERG-45-403-062,2131a499-7947-d01d-fbd4-591b566e1043,Neo-Flex Keyboard Wall Mount (White),45-403-062,$465.00 
ERG-687BK,21320847-b29d-b129-0947-5df7b3fcf2aa,"Swing Out Mouse Shelf - Installs under the worksurface to allow space for a mouse, swings under when not in use. Must be installed using wood screws into the under side of the surface.",687BK,$52.00 
ERG-45-583-216,215ceabd-f8c9-ac03-1600-5efa397524ed,Ergotron StyleView Sit-Stand Combo Arm with worksurface & pan feature (white),45-583-216,"$1,028.00 "
ERG-45-403-062,221701aa-d49d-ce2d-075a-53f4be975cfa,Neo-Flex Keyboard Wall Mount - Includes slide-out / pan / fold up keyboard tray and 10 inch wall track.,45-403-062,$457.00 
ERG-33-406-062,231feab1-1c44-d016-f3c5-5c23bfb839e2,WorkFit TL Sit Stand desktop work station. White,,$489.00 
ERG-60-612,236e5fd1-5b1d-be5c-ba27-52863456eac9,"Neo-Flex Tilting Wall Mount, UHD. For displays 37 – 80 inches up to 175 lbs.",60-612,$133.00 
ERG-45-260-216,2498adb8-4791-3a68-4955-5616cfc8a6b0,StyleView Sit-Stand Combo Arm w/ Worksurface (white),45-260-216,$894.00 
ERG-45-475-216,257c4260-bad5-fb17-c074-5d8d1b3ae71b,HX Desk monitor arm (white),45-475-216,$359.00 
ERG-509-941-085,26760210-3461-7ffe-c841-626bef0cf3cc,Replacement Mouse and Scanner Bracket for Sit-Stand Combo arm (black),509-941-085-00,$10.00 
ERG-45-486-216,280ce528-8911-96f2-3bf0-5e0f62a1e6ce,MXV desk mount single monitor arm (white.)  For monitor 7 to 20 lbs.,45-486-216,$218.00 
Erg-508-427-062,28241150-955c-c01a-5d9d-608ff31c989e,Sit Stand scanner holder - White,508-427-062-00,$7.50 
ERG-60-366-100,28df214c-97d1-a600-5c4d-528634f4e675,Light arm bracket for Command Post.,60-366-100,$115.00 
ERG-06-030,294f97e5-e017-f377-de6a-61eedd560808,LiFe Power Module,,$675.00 
ERG-98-424-060,29745e77-5fd7-491d-6d5f-618bdec27da6,CareFit Enclosure Horizontal Scanner Bracket (matte black.) Attaches to side channel on CF enclosures only.,98-424-060,$85.00 
ERG-33-349-200,2af7a70b-ab49-0cbd-6234-528634c74b59,"WorkFit-S, Dual Monitor with Worksurface (25lbs capacity)",33-349-200,$599.00 
ERG-60-156,2b50f0f8-c27f-57e9-a4eb-528634c29c0c,Track Mount Bracket Kit for CPU Holder,60-156,$29.00 
ERG-60-610-060,2c610419-08e4-8ec5-6477-528634d30052,"StyleView Sit-Stand Enclosure (charcoal black), provides 20 inches of height adjustment, folds into a slim, compact unit only 3.8 inches deep. Maximum device dimensions: 11W x 11H x 2.6D. Maximum monitor dimensions: 20.5W x 13.5H x 2.5D.",60-610-060,"$1,112.00 "
ERG-45-478-216,2d700fa9-423c-15c5-5893-58d42b834039,HX Wall Mount Monitor Arm (White),45-478-216,$325.00 
ERG-97-545,2d810de1-6d96-a4be-5263-528634544caf,Neo-Flex basket and handle kit,97-545,$41.00 
ERG-45-270-216,2e64db28-3eea-d781-7223-5616d2ef7287,StyleView Sit-Stand Combo Arm System w/ Worksurface (white) w/ Medium CPU Holder,45-270-216,$957.00 
ERG-45-306-101,2ea6b993-d953-4fe1-ad86-5952696dab8c,Ergotron Neo-Flex Surface Mount Tablet Arm,45-306-101,$124.00 
ERG-102-28G,3136d127-d042-fd3a-54dc-528634d1988f,"DS100 with 28"" pole, grommet mount base, 1 double pivot, 1 single pivot monitor mount.",,$373.00 
ERG-61-367-060,33c4e6fd-243f-0a3a-8ccb-60423ea6a7d0,CareFit Enclosure (Black) Wall-mount computer cabinet with sit to stand height adjustability.,61-367-060,"$1,233.00 "
ERG-45-253-026,33d7a7b2-8cf8-fb70-c636-528634af7c96,LX Wall Mount System with Small CPU Holder.,45-253-026,$819.00 
ERG-45-385-223,34208d2c-b458-f5a9-dad8-560c7afa08ee,"Neo-Flex Cantilever Wall Mount, VHD Very Heavy Duty, low-profile full motion mount fits monitors and TVs up to 80 lbs., maximum extension of 14 inches ",45-385-223,$173.00 
ERG-33-468-921,348c9b7e-3199-c0fc-bbff-5bd71029a4b0,WorkFit Corner sit-stand desk workstation (black),33-468-921,$489.00 
ERG-97-507-216,35002af6-11ad-2c34-97ca-5286349ed103,Utility Shelf - 12in wide x 8in deep (white),97-507-216,$93.00 
ERG-60-271-009,3527fb5f-3e09-bda6-f493-52863449afd8,"Slatwall bracket for LX, MX, 100 & 200 series.  Compatible with Woodtronics, Knoll, Infra-structure, Evans, Eurocraft, Teknion, Steelcase, EDP, CBA, Kimball & Innovant.",60-271-009,$204.00 
ERG-97-605,35ad3582-3d1d-1add-75c0-54aea8fc83d8,WorkFit Conversion Kit: Single HD to LCD & Laptop,97-605,$82.00 
ERG-98-009-216,377ba5b9-4759-b81d-d48f-5d8d1b623a9f,HX Triple Monitor Bow Kit (White),98-009-216,$328.00 
ERG-97-581-019,37dc70b1-9e14-f689-3158-529dfd285d1f,"Worksurface for WorkFit-S, Black",97-581-019,$95.00 
ERG-45-437-026,37dcb94d-afd6-e316-1a9a-5fc02f95cf88,MX Mini Wall Arm (polished aluminum),45-437-026,$204.00 
ERG-31-018-182,37f4589e-7b53-a4ee-01fe-528634469191,34 inch aluminum wall track (silver track / black covers),31-018-182,$133.00 
ERG-98-149-A68,384d0ee7-b0e3-e514-398c-599e273c7194,"Brick Baskets for YES Basic, set of 2.",98-149-A68,$59.00 
ERG-98-135-216,385a2907-94b9-1a9f-dfba-5d8a6d47c20e,"SV Wire Basket, Large For StyleView Carts and eTable with T Slot Bracket for Rear Column Attachment.",,$79.00 
ERG-60-609-195,3879077f-1ae6-b010-fc98-5f58e2d3bca2,"StyleView Vertical Lift, Patient Room (Slide-out/Pan Keyboard Tray) (black) ",,$686.00 
ERG-97-507-216,388d4642-68ea-9fbd-977e-528634fe3a7c,Utility Shelf,97-507-216,$93.00 
ERG-45-405-026,390cc36f-c1f8-61da-90a4-5d6ff0edf508,WorkFit-LX Sit-Stand Desk Mount System (polished aluminum),45-405-026,$842.00 
ERG-45-271-026,399e0d59-3f8b-9e9e-913b-5286345e6bec,StyleView Sit-Stand Combo Arm System (polished aluminum with black trim) w/ Medium Silver CPU Holder (Accommodates CPU from 3 3/8IN to 8IN wide.) Includes 34IN wall track and cable management.,45-271-026,$718.00 
ERG-24-194-055,39bef443-9eae-5a0f-d30b-528634a23d3d,Neo-Flex Dual WideView WorkSpace Dual-Display Cart,24-194-055,"$1,029.00 "
ERG-97-760-009,3a03f525-598e-c195-be49-5f62732105d9,Monitor handle kit.,97-760-009,$57.00 
ERG-45-289-026,3a2f1e78-a8c7-3bf1-0e90-528634b4ab36,LX Extension Arm (new version) (polished aluminum & black),45-289-026,$53.00 
ERG-YES40-TAB-1,3aaf09a6-0121-f647-31c1-5d950c55edec,YES40 Tablet Charging Cart,,"$2,665.00 "
ERG-33-350-200,3b48c414-7bc6-a146-946a-5286345bf3b7,"WorkFit-S, Single LD with Worksurface+",33-350-200,$515.00 
ERG-DM12-1006-1,3b60698e-b1d6-589d-acac-5ed110f6653a,Zip 12 Charging wall mounted Cabinet.  Hold 12 tablets.,DM12-1006-1,$777.00 
ERG-YESMOR2GMPW4,3c4bb206-d827-d2b2-ee91-56d79c9aed48,"YES36 Charging Cart for Mini-Laptops - charges, secures and transports up to 36 mini-laptops like Chromebooks, Netbooks, Ultrabooks, Surface Pro, MacBook Air and iPad.  PowerShuttle2 power management system charges up to 40% faster than standard round-robin charging. Adjustable shelves and dividers for total flexibility.",YESMOR2GMPW4,"$2,189.00 "
ERG-97-650,3cc3e18e-b8bc-4643-5f55-5d16642ee25b,StyleView LCD Pan Accessory,,$26.00 
ERG-45-234-200,3fb24ef9-658a-f457-71fe-528634965ebc,200 Series Wall Mount Monitor Arm with 2 extensions (23 IN extension),45-234-200,$214.00 
ERG-60-239-007,3fc2c912-ab5d-171e-a2b5-5286340cf7fd,FX30 Wall Mount with quick release lever for LCD monitors up to 30 lbs.,60-239-007,$48.00 
ERG-80-105-064,40b40fe8-7120-5e42-c8fc-5286341ab2b9,Universal wrap around CPU Holder,80-105-064,$56.00 
ERG-24-271-927,41104146-d059-3f95-d06f-52863473abe3,WorkFit-D Sit-Stand desk  with 47.6IN by 23.5IN worksurface (Walnut Finish),24-271-927,$779.00 
ERG-28-514-800,416ac1ea-6fb7-3105-722e-528634ce88c4,Neo-Flex Dual Monitor Wall Mount,28-514-800,$251.00 
ERG-80-107-216,416ae674-dca3-d7e8-c822-57eed43bf121,Thin Client Mount (White) works with Thin client PCs from .8IN to 2.3IN deep.,80-107-216,$53.00 
ERG-SV42-6102-1,41d1738e-a8b0-aef4-2a3b-5c4b6980d7f2,"SV42 StyleView Laptop Cart, Powered, LiFe Battery",,"$4,799.00 "
ERG-97-936-085,421b44fc-826c-c7db-71b7-5d56b6d5d713,WorkFit Single HD Monitor Accessory Kit (black),,$111.00 
ERG-98-150-055,448fea88-d56b-6f00-94ff-5b3626fa98d4,Keyboard/Mouse tray with debris barrier.  Graphite gray,98-150-055,$125.00 
ERG-47-093-800,45484329-7036-4361-525c-5286346fc652,"Ergotron Pivot Direct Mount, Double Pivot (includes Black and Gray covers)",47-093-800,$77.00 
ERG-45-505-216,459d0cc9-d9f1-202d-58fc-5aee07c7cd64,MXV Wall Monitor Arm (white),45-505-216,$279.00 
ERG-60-577-195,45cfb5fd-2dd2-6a2f-ba08-528634dc1a78,"Neo-Flex Wall Mount Lift - tilts, pans, 5in of lift, 6-16 lbs capacity.",60-577-195,$72.00 
ERG-45-243-224,460038bc-b582-f0d0-7bf9-5fe4db67df4c,"LX Wall Monitor Arm, matte black",45-243-224,$220.00 
ERG-45-261-216,46409fed-62d0-eb8f-56e8-574f09ad71a7,"Sit-Stand Combo 17"" Extender (white)",45-261-216,$228.00 
ERG-45-460-026,465b420f-700e-7692-0e74-59ce21a65799,Lockable Tablet Mount- Securely attach most tablets to a standard VESA compliant monitor mount.,45-460-026,$151.00 
ERG-97-905,46e267af-ca95-877f-ca1d-54aea5571b3e,WorkFit Single LD Monitor Mounting Kit,97-905,$102.00 
ERG-45-255-216,4728db04-4c87-c66f-0daa-5286340d0287,SV HD Extender arm (White),45-255-216,$125.00 
ERG-45-233-200,473ca8f0-595d-5489-938d-5db6e1fa1caf,"200 Series Wall Monitor Arm, 1 Extension (14"" Reach, 25 lbs Capacity)",45-233-200,$170.00 
ERG-45-296-026,48796447-a2b1-cd07-55f1-528634f38912,"Interactive HD arm for LCD displays, 18–40 lbs.,polished aluminum",45-296-026,$312.00 
ERG-24-237-085,48b6aaf1-3c02-2d5b-cf00-528634005219,"Tablet charging cart, single desktop",24-327-085,$999.00 
ERG-33-091-200,48c0c0e7-8c1b-3da2-5f23-5286341dbb64,"Dual Monitor DS pole vertical configuration w/ free standing base, clamping double pivots",33-091-200,$302.00 
ERG-98-246,4ac23de4-de8d-0b5e-2dde-5cd5928517fe,LiFeKinnex Battery - 245Wh Lithium Iron Phosphate battery with magnetic connection (Smart Dock required),98-246,$999.00 
ERG-45-383-026,4bd0574b-144e-dfc9-a514-54f5791e2c93,"LX HD Sit-Stand Wall Mount Monitor Arm, 14 to 30 LBS weight capacity, 33 inch reach.",45-383-026,$380.00 
ERG-80-107-200,4c37de48-5da3-e6fc-1e1a-54945b3d07d0,"Mini PC Mount (black), accommodates mini PCs or thin clients from 0.85IN to 2.3IN in depth.",80-107-200,$56.00 
ERG-SV44-1341-1,4d318ece-b0c1-0196-f01b-54a291e90b9b,"StyleView Cart with LCD Pivot, SLA Powered, 4 Drawers",SV44-1341-1,"$3,977.00 "
ERG-33-467-921,4d640485-94b9-84cf-e332-5c337091aee0,WorkFit-TX Standing Desk Converter (black),ERG-33-467-921,$549.00 
ERG-97-540-053,4e0bb319-bff7-8366-a9a1-5286343f7139,"Large Utility Shelf, includes strap to secure equipment. (Gray)",97-540-053,$73.00 
ERG-97-582-009,4fd9cd6d-ca04-b749-f692-59306e1ff9b1,Neo-Flex Underdesk Keyboard Arm,97-582-009,$136.00 
ERG-97-565,51540168-89b5-08cd-3595-5dd5883c5fb2,SV cart  basket with handle kit and hardware.,97-565,$70.00 
ERG-97-464,51e1cdbb-41ac-e23d-a4c2-5286340845ac,"Coiled Extension Cord, Medical Grade, Extends to 8', 15 amp",97-464,$113.00 
ERG-60-593-195,52291901-5994-84fe-0ab6-528634f97615,"StyleView Vertical Lift, High Traffic Areas (black)",60-593-195,$559.00 
ERG-97-780-194,52f06de8-fe75-5b0e-b485-5c37a8d56686,StyleView scanner shelf,,$30.00 
ERG-97-848,53273820-b397-d565-637b-5d4086db0c7c,SV single drawer replacement kit.,97-848,$55.00 
ERG-24-715-057,53d8e8b7-6493-1f7a-7678-5d5b12dac6f5,"LearnFit SE Sit/Stand Desk, Short. Medium Grey/Silver finish.",24-715-057,$387.00 
ERG-24-811-F13,54bdc7f8-1d62-77fe-6b81-5f60cfdadab2,Ergotron mobile desk (maple and silver),,$655.00 
ERG-98-551-251,55c53859-6201-329f-b951-62c9b40c7abf,"CareFit Combo Wired Scanner Bracket, white",98-551-251,$95.00 
ERG-33-447-921,56377451-0320-b011-1267-5d8ba48f5dfb,WorkFit-TS Compact Desk Converter,,$299.00 
ERG-97-702,5769393f-de7e-f957-f2dc-5df7b000bb89,"K-Slot Lock Kit - Security cable lock for attachment to K Slot on Laptops, PCs and other compatible hardware.",97-702,$27.00 
ERG-C50-3500-0,585d7104-45de-3595-a4f5-5f91b4b329d3,"CareFit™ Slim 2.0 LCD Cart with 22.5IN height adjustment, built in left side storage basket. Accommodates monitors up to 20lbs.",C50-3500-0,"$1,299.00 "
ERG-97-091,5885416b-d84e-461f-4f3c-5286342d2690,Track Mount Bracket Kit for Arm or Peripheral,97-091,$48.00 
ERG-80-063-216,593c37dd-8ded-d518-f9ae-56156b4f6ff6,"Small CPU Holder (white), accommodates CPUs from 1-3/8 inches to 3-3/4 inches wide.",80-063-216,$59.00 
